f_crack,uf,ua,Tmax_K,net_ROP_NO_kmol_m3_s,net_ROP_NO2_kmol_m3_s,net_ROP_N2O_kmol_m3_s,bar_plot_path,NO_top1_rxn_idx,NO_top1_contrib_kmol_m3_s,NO_top1_rxn_eq,NO_top2_rxn_idx,NO_top2_contrib_kmol_m3_s,NO_top2_rxn_eq,NO_top3_rxn_idx,NO_top3_contrib_kmol_m3_s,NO_top3_rxn_eq,NO_top4_rxn_idx,NO_top4_contrib_kmol_m3_s,NO_top4_rxn_eq,NO_top5_rxn_idx,NO_top5_contrib_kmol_m3_s,NO_top5_rxn_eq,NO_top6_rxn_idx,NO_top6_contrib_kmol_m3_s,NO_top6_rxn_eq,NO_top7_rxn_idx,NO_top7_contrib_kmol_m3_s,NO_top7_rxn_eq,NO_top8_rxn_idx,NO_top8_contrib_kmol_m3_s,NO_top8_rxn_eq,NO_top9_rxn_idx,NO_top9_contrib_kmol_m3_s,NO_top9_rxn_eq,NO_top10_rxn_idx,NO_top10_contrib_kmol_m3_s,NO_top10_rxn_eq,NO2_top1_rxn_idx,NO2_top1_contrib_kmol_m3_s,NO2_top1_rxn_eq,NO2_top2_rxn_idx,NO2_top2_contrib_kmol_m3_s,NO2_top2_rxn_eq,NO2_top3_rxn_idx,NO2_top3_contrib_kmol_m3_s,NO2_top3_rxn_eq,NO2_top4_rxn_idx,NO2_top4_contrib_kmol_m3_s,NO2_top4_rxn_eq,NO2_top5_rxn_idx,NO2_top5_contrib_kmol_m3_s,NO2_top5_rxn_eq,NO2_top6_rxn_idx,NO2_top6_contrib_kmol_m3_s,NO2_top6_rxn_eq,NO2_top7_rxn_idx,NO2_top7_contrib_kmol_m3_s,NO2_top7_rxn_eq,NO2_top8_rxn_idx,NO2_top8_contrib_kmol_m3_s,NO2_top8_rxn_eq,NO2_top9_rxn_idx,NO2_top9_contrib_kmol_m3_s,NO2_top9_rxn_eq,NO2_top10_rxn_idx,NO2_top10_contrib_kmol_m3_s,NO2_top10_rxn_eq,N2O_top1_rxn_idx,N2O_top1_contrib_kmol_m3_s,N2O_top1_rxn_eq,N2O_top2_rxn_idx,N2O_top2_contrib_kmol_m3_s,N2O_top2_rxn_eq,N2O_top3_rxn_idx,N2O_top3_contrib_kmol_m3_s,N2O_top3_rxn_eq,N2O_top4_rxn_idx,N2O_top4_contrib_kmol_m3_s,N2O_top4_rxn_eq,N2O_top5_rxn_idx,N2O_top5_contrib_kmol_m3_s,N2O_top5_rxn_eq,N2O_top6_rxn_idx,N2O_top6_contrib_kmol_m3_s,N2O_top6_rxn_eq,N2O_top7_rxn_idx,N2O_top7_contrib_kmol_m3_s,N2O_top7_rxn_eq,N2O_top8_rxn_idx,N2O_top8_contrib_kmol_m3_s,N2O_top8_rxn_eq,N2O_top9_rxn_idx,N2O_top9_contrib_kmol_m3_s,N2O_top9_rxn_eq,N2O_top10_rxn_idx,N2O_top10_contrib_kmol_m3_s,N2O_top10_rxn_eq
0.28,0.5,0.5,2085.3282537472023,0.337965724482448,0.002437807868925437,0.0413678098541957,test_NO_3\bar_ROP_NO_f0.28_uf0.5_ua0.5.png,272,0.3009715730674337,H + HNO <=> H2 + NO,219,-0.21357911193155066,N + NO <=> N2 + O,221,0.2133102611518164,N + OH <=> H + NO,239,-0.19459605660155407,NH + NO <=> H + N2O,232,0.11230047806143399,NH + O <=> H + NO,270,0.09156828489420904,H + NO + M <=> HNO + M,241,-0.06275166142143943,NH + NO <=> N2 + OH,273,0.060758199755164256,HNO + OH <=> H2O + NO,240,0.054086740744184035,NH + NO <=> H + N2O,220,0.041309144074018596,N + O2 <=> NO + O,227,0.008666539908332537,HO2 + NO <=> NO2 + OH,230,-0.005047230916927852,H + NO2 <=> NO + OH,229,-0.0020742293152651615,NO2 + O <=> NO + O2,228,0.000892917467074069,NO + O + M <=> NO2 + M,275,-1.8894327146088887e-07,HNO + NO2 <=> HONO + NO,243,-2.6172329439955114e-10,NH + NO2 <=> N2O + OH,258,-6.91084291883639e-11,NH2 + NO2 <=> H2O + N2O,242,-2.0426751950281244e-13,HONO + NH <=> NH2 + NO2,257,1.929726627974699e-14,HONO + NH2 <=> NH3 + NO2,,,,239,0.27457885961536044,NH + NO <=> H + N2O,224,-0.12255331225363436,H + N2O <=> N2 + OH,240,-0.07634490434273793,NH + NO <=> H + N2O,226,-0.025390478320399243,N2O (+M) <=> N2 + O (+M),261,-0.008428389658533935,NNH + O <=> H + N2O,225,-0.0002842148430919657,N2O + OH <=> HO2 + N2,223,-0.00011102025168837475,N2O + O <=> 2 NO,222,-0.00010612066172585584,N2O + O <=> N2 + O2,243,6.79050767097563e-06,NH + NO2 <=> N2O + OH,258,6.000629759437398e-07,NH2 + NO2 <=> H2O + N2O
0.28,0.5,1.0,2042.9280891805863,0.5760263532767232,0.00396289082059428,0.06076499760639893,test_NO_3\bar_ROP_NO_f0.28_uf0.5_ua1.0.png,272,0.3958361151597144,H + HNO <=> H2 + NO,221,0.21738873998434322,N + OH <=> H + NO,219,-0.18648696412893825,N + NO <=> N2 + O,232,0.16902483354318443,NH + O <=> H + NO,239,-0.15701052155058193,NH + NO <=> H + N2O,273,0.08579012275372616,HNO + OH <=> H2O + NO,270,0.05369621367821632,H + NO + M <=> HNO + M,241,-0.051444043566500335,NH + NO <=> N2 + OH,220,0.048717590625990355,N + O2 <=> NO + O,240,0.04339267389459854,NH + NO <=> H + N2O,227,0.007616580428072127,HO2 + NO <=> NO2 + OH,230,-0.0026678871823215895,H + NO2 <=> NO + OH,229,-0.0017352033785581653,NO2 + O <=> NO + O2,228,0.0007494976383269718,NO + O + M <=> NO2 + M,275,-9.564956054547338e-08,HNO + NO2 <=> HONO + NO,258,-8.499334456705557e-10,NH2 + NO2 <=> H2O + N2O,243,-1.8514449784631728e-10,NH + NO2 <=> N2O + OH,242,-4.10719853730808e-13,HONO + NH <=> NH2 + NO2,257,1.241448810526262e-13,HONO + NH2 <=> NH3 + NO2,,,,239,0.4027131983483567,NH + NO <=> H + N2O,224,-0.19304489792131946,H + N2O <=> N2 + OH,240,-0.11162553919342758,NH + NO <=> H + N2O,226,-0.024611028874917222,N2O (+M) <=> N2 + O (+M),261,-0.011709151786753509,NNH + O <=> H + N2O,225,-0.0004502401475551106,N2O + OH <=> HO2 + N2,222,-0.0002620248182467842,N2O + O <=> N2 + O2,223,-0.00025958487777349217,N2O + O <=> 2 NO,243,1.3178658802387484e-05,NH + NO2 <=> N2O + OH,258,1.0882192329660255e-06,NH2 + NO2 <=> H2O + N2O
0.28,0.5,1.5,2025.8028331992255,0.6798017950320314,0.0064651294593710724,0.07755654992042109,test_NO_3\bar_ROP_NO_f0.28_uf0.5_ua1.5.png,272,0.5080941024900483,H + HNO <=> H2 + NO,221,0.2565917583862902,N + OH <=> H + NO,219,-0.24624885602969795,N + NO <=> N2 + O,232,0.21298675124815103,NH + O <=> H + NO,239,-0.21051257432980652,NH + NO <=> H + N2O,273,0.0999277243603681,HNO + OH <=> H2O + NO,241,-0.06880307146327685,NH + NO <=> N2 + OH,220,0.06776442025679857,N + O2 <=> NO + O,270,0.06004755669519139,H + NO + M <=> HNO + M,240,0.05809453999875879,NH + NO <=> H + N2O,227,0.013873378818521933,HO2 + NO <=> NO2 + OH,230,-0.005999453608231368,H + NO2 <=> NO + OH,229,-0.0025588298463537027,NO2 + O <=> NO + O2,228,0.0011502080164790304,NO + O + M <=> NO2 + M,275,-1.675446250643557e-07,HNO + NO2 <=> HONO + NO,258,-5.51964998667751e-09,NH2 + NO2 <=> H2O + N2O,243,-8.54567820323881e-10,NH + NO2 <=> N2O + OH,242,-2.938080524842296e-12,HONO + NH <=> NH2 + NO2,257,7.361327169695329e-13,HONO + NH2 <=> NH3 + NO2,,,,239,0.489998689751339,NH + NO <=> H + N2O,224,-0.23579239759949472,H + N2O <=> N2 + OH,240,-0.1356254278588965,NH + NO <=> H + N2O,226,-0.02639129505944952,N2O (+M) <=> N2 + O (+M),261,-0.013498771920480103,NNH + O <=> H + N2O,225,-0.0005016692224149424,N2O + OH <=> HO2 + N2,222,-0.0003320093716957204,N2O + O <=> N2 + O2,223,-0.00032060785489526503,N2O + O <=> 2 NO,243,1.8449489337154875e-05,NH + NO2 <=> N2O + OH,258,1.5895670716984685e-06,NH2 + NO2 <=> H2O + N2O
0.28,1.0,0.5,2064.5036122477454,0.3621390889345474,0.00355706183082616,0.047287705265110086,test_NO_3\bar_ROP_NO_f0.28_uf1.0_ua0.5.png,272,0.39037018488344655,H + HNO <=> H2 + NO,219,-0.2851497364947865,N + NO <=> N2 + O,239,-0.2647854232139406,NH + NO <=> H + N2O,221,0.255240200212492,N + OH <=> H + NO,232,0.14033498314787562,NH + O <=> H + NO,270,0.10241019044853536,H + NO + M <=> HNO + M,241,-0.08459059638650794,NH + NO <=> N2 + OH,240,0.07348036540750075,NH + NO <=> H + N2O,273,0.06847329469294773,HNO + OH <=> H2O + NO,220,0.05589567482500225,N + O2 <=> NO + O,227,0.012345969501270947,HO2 + NO <=> NO2 + OH,230,-0.0073503749460976636,H + NO2 <=> NO + OH,229,-0.002588913395266172,NO2 + O <=> NO + O2,228,0.0011506020697196482,NO + O + M <=> NO2 + M,275,-2.205160084544483e-07,HNO + NO2 <=> HONO + NO,243,-4.439404333244607e-10,NH + NO2 <=> N2O + OH,258,-4.379728837027278e-10,NH2 + NO2 <=> H2O + N2O,242,-9.762021592161261e-13,HONO + NH <=> NH2 + NO2,257,9.737521498769703e-14,HONO + NH2 <=> NH3 + NO2,,,,239,0.30850155665616263,NH + NO <=> H + N2O,224,-0.14021897990107074,H + N2O <=> N2 + OH,240,-0.08559567483915739,NH + NO <=> H + N2O,226,-0.025985256345177638,N2O (+M) <=> N2 + O (+M),261,-0.008934247732943467,NNH + O <=> H + N2O,225,-0.00027188286832726777,N2O + OH <=> HO2 + N2,223,-0.00010873759180217984,N2O + O <=> 2 NO,222,-0.0001078774756064058,N2O + O <=> N2 + O2,243,8.038820817872975e-06,NH + NO2 <=> N2O + OH,258,7.66542214678825e-07,NH2 + NO2 <=> H2O + N2O
0.28,1.0,1.0,2038.8629409565428,0.4978792589066934,0.004879248849054457,0.0648273102081996,test_NO_3\bar_ROP_NO_f0.28_uf1.0_ua1.0.png,272,0.528331259057516,H + HNO <=> H2 + NO,219,-0.3488854744393911,N + NO <=> N2 + O,239,-0.3274600052835161,NH + NO <=> H + N2O,221,0.29936151853148013,N + OH <=> H + NO,232,0.1962880706181313,NH + O <=> H + NO,270,0.10521025031809104,H + NO + M <=> HNO + M,241,-0.10424327971322722,NH + NO <=> N2 + OH,240,0.09064831322060594,NH + NO <=> H + N2O,273,0.08861989637289376,HNO + OH <=> H2O + NO,220,0.07709342102463591,N + O2 <=> NO + O,227,0.010009652374445612,HO2 + NO <=> NO2 + OH,230,-0.003913585706659614,H + NO2 <=> NO + OH,229,-0.0021264560140631683,NO2 + O <=> NO + O2,228,0.0009097608676577592,NO + O + M <=> NO2 + M,275,-1.2017763679621826e-07,HNO + NO2 <=> HONO + NO,258,-2.116990075201033e-09,NH2 + NO2 <=> H2O + N2O,243,-3.770321216377204e-10,NH + NO2 <=> N2O + OH,242,-9.514745894730629e-13,HONO + NH <=> NH2 + NO2,257,2.8433608068280693e-13,HONO + NH2 <=> NH3 + NO2,,,,239,0.4046969578677081,NH + NO <=> H + N2O,224,-0.1885109736007387,H + N2O <=> N2 + OH,240,-0.11207005822963943,NH + NO <=> H + N2O,226,-0.027487623898965613,N2O (+M) <=> N2 + O (+M),261,-0.011125401033728013,NNH + O <=> H + N2O,225,-0.0003457251666933993,N2O + OH <=> HO2 + N2,222,-0.00017448194505312187,N2O + O <=> N2 + O2,223,-0.00016996836533387477,N2O + O <=> 2 NO,243,1.3310923889590894e-05,NH + NO2 <=> N2O + OH,258,1.2736567540616714e-06,NH2 + NO2 <=> H2O + N2O
0.28,1.0,1.5,1989.628053062517,0.7454518384364448,0.007200964834768879,0.09014809630747102,test_NO_3\bar_ROP_NO_f0.28_uf1.0_ua1.5.png,272,0.6031559529878017,H + HNO <=> H2 + NO,219,-0.28092432154687447,N + NO <=> N2 + O,221,0.2649388407949205,N + OH <=> H + NO,239,-0.2546865248284118,NH + NO <=> H + N2O,232,0.24574617135222973,NH + O <=> H + NO,273,0.11161881729607857,HNO + OH <=> H2O + NO,241,-0.08224039238009641,NH + NO <=> N2 + OH,220,0.0801332714199227,N + O2 <=> NO + O,240,0.07008598284285916,NH + NO <=> H + N2O,270,0.05789848576671994,H + NO + M <=> HNO + M,227,0.012195828005918627,HO2 + NO <=> NO2 + OH,230,-0.0038590282010592097,H + NO2 <=> NO + OH,229,-0.0021765675098765203,NO2 + O <=> NO + O2,228,0.0010408715189634604,NO + O + M <=> NO2 + M,275,-1.1390262806411416e-07,HNO + NO2 <=> HONO + NO,258,-2.2987850154644703e-08,NH2 + NO2 <=> H2O + N2O,243,-2.087040873385694e-09,NH + NO2 <=> N2O + OH,242,-4.374843686296867e-12,HONO + NH <=> NH2 + NO2,257,2.716457389185225e-12,HONO + NH2 <=> NH3 + NO2,,,,239,0.526992891860461,NH + NO <=> H + N2O,224,-0.25123451476703973,H + N2O <=> N2 + OH,240,-0.145418835533118,NH + NO <=> H + N2O,226,-0.02629594115018246,N2O (+M) <=> N2 + O (+M),261,-0.012823087155373347,NNH + O <=> H + N2O,225,-0.0004645308794918472,N2O + OH <=> HO2 + N2,222,-0.00033162728025172377,N2O + O <=> N2 + O2,223,-0.00030291125814483006,N2O + O <=> 2 NO,243,2.427651144190409e-05,NH + NO2 <=> N2O + OH,258,2.3759591699914544e-06,NH2 + NO2 <=> H2O + N2O
0.28,1.5,0.5,2026.6919491139768,0.5423507701794459,0.003885857644387266,0.06052092223512612,test_NO_3\bar_ROP_NO_f0.28_uf1.5_ua0.5.png,272,0.3676676818272079,H + HNO <=> H2 + NO,221,0.19792444791998048,N + OH <=> H + NO,219,-0.16695069203055504,N + NO <=> N2 + O,232,0.15682116960869946,NH + O <=> H + NO,239,-0.131952591997541,NH + NO <=> H + N2O,273,0.07691047280901475,HNO + OH <=> H2O + NO,220,0.046650153210050053,N + O2 <=> NO + O,241,-0.04396515439759096,NH + NO <=> N2 + OH,270,0.036928786102386923,H + NO + M <=> HNO + M,240,0.03640354294503445,NH + NO <=> H + N2O,227,0.006876707860058064,HO2 + NO <=> NO2 + OH,230,-0.002094816722030419,H + NO2 <=> NO + OH,229,-0.0015403019654703783,NO2 + O <=> NO + O2,228,0.0006443496117491216,NO + O + M <=> NO2 + M,275,-7.833322009514695e-08,HNO + NO2 <=> HONO + NO,258,-2.5302380434792272e-09,NH2 + NO2 <=> H2O + N2O,243,-2.7601806073938013e-10,NH + NO2 <=> N2O + OH,242,-7.692540335946043e-13,HONO + NH <=> NH2 + NO2,257,3.2633149004247177e-13,HONO + NH2 <=> NH3 + NO2,,,,239,0.3749227836064353,NH + NO <=> H + N2O,224,-0.1750769544862747,H + N2O <=> N2 + OH,240,-0.1037288196394183,NH + NO <=> H + N2O,226,-0.024965654869475697,N2O (+M) <=> N2 + O (+M),261,-0.009995113468848526,NNH + O <=> H + N2O,225,-0.00032765947587873654,N2O + OH <=> HO2 + N2,222,-0.00016371086364303837,N2O + O <=> N2 + O2,223,-0.00015683896405764707,N2O + O <=> 2 NO,243,1.176091834555776e-05,NH + NO2 <=> N2O + OH,258,1.1294779419284223e-06,NH2 + NO2 <=> H2O + N2O
0.28,1.5,1.0,2000.8400374084313,0.780337894374921,0.007448960408299938,0.08600101720184837,test_NO_3\bar_ROP_NO_f0.28_uf1.5_ua1.0.png,272,0.5938665405216477,H + HNO <=> H2 + NO,221,0.26705230612950237,N + OH <=> H + NO,219,-0.26277195585431307,N + NO <=> N2 + O,232,0.24733820425107245,NH + O <=> H + NO,239,-0.23608976572571067,NH + NO <=> H + N2O,273,0.11541986432201008,HNO + OH <=> H2O + NO,241,-0.07594295435695855,NH + NO <=> N2 + OH,220,0.07281502235914762,N + O2 <=> NO + O,240,0.06499723134218566,NH + NO <=> H + N2O,270,0.05663779417877574,H + NO + M <=> HNO + M,227,0.019397134968263487,HO2 + NO <=> NO2 + OH,230,-0.010277748510667463,H + NO2 <=> NO + OH,229,-0.0031901169953278026,NO2 + O <=> NO + O2,228,0.0015199614001743386,NO + O + M <=> NO2 + M,275,-2.584377226437201e-07,HNO + NO2 <=> HONO + NO,258,-1.0188602577747113e-08,NH2 + NO2 <=> H2O + N2O,243,-1.8215966208308746e-09,NH + NO2 <=> N2O + OH,242,-7.829057561867335e-12,HONO + NH <=> NH2 + NO2,257,1.6082794464650957e-12,HONO + NH2 <=> NH3 + NO2,,,,239,0.529215890713736,NH + NO <=> H + N2O,224,-0.25707974600977734,H + N2O <=> N2 + OH,240,-0.14617182251461802,NH + NO <=> H + N2O,226,-0.02515447937782037,N2O (+M) <=> N2 + O (+M),261,-0.013548146157649477,NNH + O <=> H + N2O,225,-0.0005297191318021809,N2O + OH <=> HO2 + N2,222,-0.00039123983311586274,N2O + O <=> N2 + O2,223,-0.0003636593633498377,N2O + O <=> 2 NO,243,2.197405002707272e-05,NH + NO2 <=> N2O + OH,258,1.964826218417031e-06,NH2 + NO2 <=> H2O + N2O
0.28,1.5,1.5,1979.5546821515468,0.8507978993187142,0.009817085919194413,0.10304261852634394,test_NO_3\bar_ROP_NO_f0.28_uf1.5_ua1.5.png,272,0.7873872947126385,H + HNO <=> H2 + NO,219,-0.3824221411661964,N + NO <=> N2 + O,239,-0.37414628308364634,NH + NO <=> H + N2O,221,0.32333523835055783,N + OH <=> H + NO,232,0.30960530861416524,NH + O <=> H + NO,273,0.13326210664180263,HNO + OH <=> H2O + NO,241,-0.11780043471070586,NH + NO <=> N2 + OH,240,0.10291382743793001,NH + NO <=> H + N2O,220,0.10025293894766017,N + O2 <=> NO + O,270,0.07823386167949939,H + NO + M <=> HNO + M,227,0.025959967714715235,HO2 + NO <=> NO2 + OH,230,-0.01420314366609651,H + NO2 <=> NO + OH,229,-0.0038438947120911036,NO2 + O <=> NO + O2,228,0.0019044811847194168,NO + O + M <=> NO2 + M,275,-2.788843645918645e-07,HNO + NO2 <=> HONO + NO,258,-3.944203972222704e-08,NH2 + NO2 <=> H2O + N2O,243,-6.261874111656143e-09,NH + NO2 <=> N2O + OH,242,-1.912645517398229e-11,HONO + NH <=> NH2 + NO2,257,5.352254085589763e-12,HONO + NH2 <=> NH3 + NO2,,,,239,0.5824096858480617,NH + NO <=> H + N2O,224,-0.27703790548158136,H + N2O <=> N2 + OH,240,-0.1605664242597054,NH + NO <=> H + N2O,226,-0.02699047770978881,N2O (+M) <=> N2 + O (+M),261,-0.013639605529312496,NNH + O <=> H + N2O,225,-0.000478501626071938,N2O + OH <=> HO2 + N2,222,-0.00036127451697744265,N2O + O <=> N2 + O2,223,-0.0003245926747422251,N2O + O <=> 2 NO,243,2.8805630656337973e-05,NH + NO2 <=> N2O + OH,258,2.90884580550591e-06,NH2 + NO2 <=> H2O + N2O
0.5,2.0,2.0,1988.5267634168442,0.5141379358673938,0.005481019488507229,0.032957648502527956,test_NO_3\bar_ROP_NO_f0.5_uf2.0_ua2.0.png,221,0.43967862180962153,N + OH <=> H + NO,272,0.3464617501747012,H + HNO <=> H2 + NO,219,-0.3163400182884536,N + NO <=> N2 + O,232,0.12663880549588272,NH + O <=> H + NO,239,-0.11383903559964467,NH + NO <=> H + N2O,220,0.04720055003446221,N + O2 <=> NO + O,241,-0.03752223670421823,NH + NO <=> N2 + OH,240,0.03140434166503856,NH + NO <=> H + N2O,273,0.02695638442560523,HNO + OH <=> H2O + NO,262,-0.015973255891413428,NNH + O <=> NH + NO,227,0.00994710895223599,HO2 + NO <=> NO2 + OH,230,-0.0035270131016427496,H + NO2 <=> NO + OH,229,-0.0014398395047936865,NO2 + O <=> NO + O2,228,0.0005007827140815125,NO + O + M <=> NO2 + M,275,-1.9200215164373297e-08,HNO + NO2 <=> HONO + NO,258,-2.3457074433808036e-10,NH2 + NO2 <=> H2O + N2O,243,-1.3657025489571188e-10,NH + NO2 <=> N2O + OH,242,-2.1777341752406954e-14,HONO + NH <=> NH2 + NO2,257,4.103141625281208e-15,HONO + NH2 <=> NH3 + NO2,,,,239,0.2517983219537485,NH + NO <=> H + N2O,224,-0.13648474537031788,H + N2O <=> N2 + OH,240,-0.06917542708749964,NH + NO <=> H + N2O,226,-0.007016507149604496,N2O (+M) <=> N2 + O (+M),261,-0.006018680589069768,NNH + O <=> H + N2O,225,-8.264527393663776e-05,N2O + OH <=> HO2 + N2,222,-3.494691338267193e-05,N2O + O <=> N2 + O2,223,-2.9399970158887346e-05,N2O + O <=> 2 NO,243,1.5548622316432936e-06,NH + NO2 <=> N2O + OH,258,1.2404051780436826e-07,NH2 + NO2 <=> H2O + N2O
