iter	Passed	Remaining
0	140	27911
1	143	14248
2	146	9638
3	149	7316
4	151	5927
5	155	5031
6	159	4403
7	162	3898
8	164	3500
9	167	3182
10	170	2922
11	172	2704
12	175	2521
13	177	2360
14	180	2223
15	182	2103
16	185	1994
17	187	1899
18	190	1815
19	193	1737
20	195	1670
21	198	1607
22	202	1556
23	204	1500
24	207	1450
25	208	1397
26	211	1353
27	213	1312
28	216	1275
29	218	1239
30	221	1207
31	224	1176
32	226	1148
33	229	1120
34	232	1095
35	234	1069
36	237	1047
37	240	1024
38	243	1003
39	245	982
40	248	962
41	251	944
42	253	927
43	256	910
44	259	892
45	261	875
46	264	860
47	267	846
48	270	832
49	272	817
50	274	802
51	276	787
52	279	774
53	281	761
54	284	750
55	287	738
56	289	726
57	292	715
58	294	704
59	297	694
60	300	685
61	303	675
62	306	665
63	308	655
64	310	644
65	313	635
66	315	627
67	318	618
68	321	610
69	324	602
70	327	594
71	329	586
72	332	579
73	336	572
74	339	565
75	343	559
76	348	556
77	351	549
78	354	543
79	357	536
80	361	530
81	364	524
82	367	518
83	370	512
84	373	505
85	378	501
86	381	495
87	385	490
88	388	484
89	392	479
90	395	473
91	399	468
92	402	462
93	404	456
94	407	450
95	410	444
96	413	438
97	415	432
98	418	427
99	421	421
100	424	416
101	427	410
102	430	405
103	432	399
104	435	394
105	438	388
106	441	383
107	445	379
108	450	376
109	453	370
110	456	366
111	459	360
112	461	355
113	464	350
114	467	345
115	470	340
116	472	335
117	475	330
118	478	325
119	481	320
120	483	315
121	488	312
122	491	307
123	494	302
124	496	298
125	499	293
126	502	288
127	505	284
128	508	279
129	510	275
130	513	270
131	516	265
132	519	261
133	524	258
134	531	255
135	534	251
136	572	263
137	575	258
138	577	253
139	587	251
140	596	249
141	604	246
142	607	242
143	609	237
144	612	232
145	615	227
146	618	222
147	620	218
148	623	213
149	626	208
150	629	204
151	633	199
152	636	195
153	639	191
154	642	186
155	646	182
156	649	177
157	651	173
158	654	168
159	657	164
160	660	159
161	663	155
162	666	151
163	669	146
164	672	142
165	674	138
166	677	133
167	680	129
168	683	125
169	686	121
170	689	116
171	693	112
172	696	108
173	699	104
174	703	100
175	708	96
176	715	92
177	720	89
178	726	85
179	730	81
180	734	77
181	738	73
182	742	68
183	747	65
184	752	60
185	755	56
186	758	52
187	761	48
188	766	44
189	771	40
190	775	36
191	778	32
192	781	28
193	785	24
194	789	20
195	792	16
196	796	12
197	799	8
198	802	4
199	805	0
