f_crack;uf;ua;Tmax_K;net_ROP_NO_kmol_m3_s;net_ROP_NO2_kmol_m3_s;net_ROP_N2O_kmol_m3_s;bar_plot_path;NO_top1_rxn_idx;NO_top1_contrib_kmol_m3_s;NO_top1_rxn_eq;NO_top2_rxn_idx;NO_top2_contrib_kmol_m3_s;NO_top2_rxn_eq;NO_top3_rxn_idx;NO_top3_contrib_kmol_m3_s;NO_top3_rxn_eq;NO_top4_rxn_idx;NO_top4_contrib_kmol_m3_s;NO_top4_rxn_eq;NO_top5_rxn_idx;NO_top5_contrib_kmol_m3_s;NO_top5_rxn_eq;NO_top6_rxn_idx;NO_top6_contrib_kmol_m3_s;NO_top6_rxn_eq;NO_top7_rxn_idx;NO_top7_contrib_kmol_m3_s;NO_top7_rxn_eq;NO_top8_rxn_idx;NO_top8_contrib_kmol_m3_s;NO_top8_rxn_eq;NO_top9_rxn_idx;NO_top9_contrib_kmol_m3_s;NO_top9_rxn_eq;NO_top10_rxn_idx;NO_top10_contrib_kmol_m3_s;NO_top10_rxn_eq;NO2_top1_rxn_idx;NO2_top1_contrib_kmol_m3_s;NO2_top1_rxn_eq;NO2_top2_rxn_idx;NO2_top2_contrib_kmol_m3_s;NO2_top2_rxn_eq;NO2_top3_rxn_idx;NO2_top3_contrib_kmol_m3_s;NO2_top3_rxn_eq;NO2_top4_rxn_idx;NO2_top4_contrib_kmol_m3_s;NO2_top4_rxn_eq;NO2_top5_rxn_idx;NO2_top5_contrib_kmol_m3_s;NO2_top5_rxn_eq;NO2_top6_rxn_idx;NO2_top6_contrib_kmol_m3_s;NO2_top6_rxn_eq;NO2_top7_rxn_idx;NO2_top7_contrib_kmol_m3_s;NO2_top7_rxn_eq;NO2_top8_rxn_idx;NO2_top8_contrib_kmol_m3_s;NO2_top8_rxn_eq;NO2_top9_rxn_idx;NO2_top9_contrib_kmol_m3_s;NO2_top9_rxn_eq;NO2_top10_rxn_idx;NO2_top10_contrib_kmol_m3_s;NO2_top10_rxn_eq;N2O_top1_rxn_idx;N2O_top1_contrib_kmol_m3_s;N2O_top1_rxn_eq;N2O_top2_rxn_idx;N2O_top2_contrib_kmol_m3_s;N2O_top2_rxn_eq;N2O_top3_rxn_idx;N2O_top3_contrib_kmol_m3_s;N2O_top3_rxn_eq;N2O_top4_rxn_idx;N2O_top4_contrib_kmol_m3_s;N2O_top4_rxn_eq;N2O_top5_rxn_idx;N2O_top5_contrib_kmol_m3_s;N2O_top5_rxn_eq;N2O_top6_rxn_idx;N2O_top6_contrib_kmol_m3_s;N2O_top6_rxn_eq;N2O_top7_rxn_idx;N2O_top7_contrib_kmol_m3_s;N2O_top7_rxn_eq;N2O_top8_rxn_idx;N2O_top8_contrib_kmol_m3_s;N2O_top8_rxn_eq;N2O_top9_rxn_idx;N2O_top9_contrib_kmol_m3_s;N2O_top9_rxn_eq;N2O_top10_rxn_idx;N2O_top10_contrib_kmol_m3_s;N2O_top10_rxn_eq
0.28;0.5;0.5;2119.478151436508;0.2050153611964248;0.0010723175793134864;0.020616575021533044;figures_multi_case_rop\bar_ROP_NO_f0.28_uf0.5_ua0.5.png;272;0.15329488521215923;H + HNO <=> H2 + NO;221;0.13175951902771962;N + OH <=> H + NO;219;-0.11415256449039772;N + NO <=> N2 + O;239;-0.10245014269967594;NH + NO <=> H + N2O;270;0.06519444067081953;H + NO + M <=> HNO + M;232;0.05699395944523554;NH + O <=> H + NO;273;0.03664544190115622;HNO + OH <=> H2O + NO;241;-0.03315864242707192;NH + NO <=> N2 + OH;240;0.028557335646152995;NH + NO <=> H + N2O;220;0.0177261064105641;N + O2 <=> NO + O;227;0.00262335070426215;HO2 + NO <=> NO2 + OH;230;-0.0010460227733723108;H + NO2 <=> NO + OH;229;-0.0008276946625210549;NO2 + O <=> NO + O2;228;0.0003227457064246628;NO + O + M <=> NO2 + M;275;-6.135480323093376e-08;HNO + NO2 <=> HONO + NO;243;-3.3937282581140194e-11;NH + NO2 <=> N2O + OH;258;-6.721037031623045e-12;NH2 + NO2 <=> H2O + N2O;242;-2.0417877105137176e-14;HONO + NH <=> NH2 + NO2;257;2.007941008790252e-15;HONO + NH2 <=> NH3 + NO2;;;;239;0.16935219157211318;NH + NO <=> H + N2O;224;-0.07637736761592927;H + N2O <=> N2 + OH;240;-0.04723614255397785;NH + NO <=> H + N2O;226;-0.018834407231848312;N2O (+M) <=> N2 + O (+M);261;-0.005888080973635996;NNH + O <=> H + N2O;225;-0.0002362542096648329;N2O + OH <=> HO2 + N2;223;-8.805405268223537e-05;N2O + O <=> 2 NO;222;-7.971194688636848e-05;N2O + O <=> N2 + O2;243;4.091086821143413e-06;NH + NO2 <=> N2O + OH;258;3.1094722359918354e-07;NH2 + NO2 <=> H2O + N2O
0.28;0.5;1.0;2083.022635584695;0.2341795692942977;0.0015883294510897132;0.03107278590738938;figures_multi_case_rop\bar_ROP_NO_f0.28_uf0.5_ua1.0.png;272;0.12474035307605763;H + HNO <=> H2 + NO;221;0.07776137496700199;N + OH <=> H + NO;232;0.05737973944391894;NH + O <=> H + NO;219;-0.0468252521543854;N + NO <=> N2 + O;273;0.03639181892317835;HNO + OH <=> H2O + NO;239;-0.03455846204072473;NH + NO <=> H + N2O;270;0.015114061251643246;H + NO + M <=> HNO + M;220;0.014353191044241246;N + O2 <=> NO + O;241;-0.01214575510772215;NH + NO <=> N2 + OH;240;0.009577336595806231;NH + NO <=> H + N2O;227;0.003096520731290332;HO2 + NO <=> NO2 + OH;230;-0.0009758863464229523;H + NO2 <=> NO + OH;229;-0.0009088924366323521;NO2 + O <=> NO + O2;228;0.0003766456348102505;NO + O + M <=> NO2 + M;275;-5.801391839813943e-08;HNO + NO2 <=> HONO + NO;258;-8.250421248130462e-11;NH2 + NO2 <=> H2O + N2O;243;-3.544134465100871e-11;NH + NO2 <=> N2O + OH;242;-1.1004077978210727e-13;HONO + NH <=> NH2 + NO2;257;1.8431516730329558e-14;HONO + NH2 <=> NH3 + NO2;;;;239;0.21728205814642995;NH + NO <=> H + N2O;224;-0.0960865974060106;H + N2O <=> N2 + OH;240;-0.06042637304083446;NH + NO <=> H + N2O;226;-0.0226291453075756;N2O (+M) <=> N2 + O (+M);261;-0.0066796918590392605;NNH + O <=> H + N2O;225;-0.0002344098361242252;N2O + OH <=> HO2 + N2;223;-8.109642833688523e-05;N2O + O <=> 2 NO;222;-7.724842367722632e-05;N2O + O <=> N2 + O2;243;4.857159645440229e-06;NH + NO2 <=> N2O + OH;258;4.3290291225869566e-07;NH2 + NO2 <=> H2O + N2O
0.28;0.5;1.5;2060.143530858294;0.3541465523954046;0.002603621344377329;0.041462090389333794;figures_multi_case_rop\bar_ROP_NO_f0.28_uf0.5_ua1.5.png;272;0.2898890880293396;H + HNO <=> H2 + NO;221;0.19479440837846268;N + OH <=> H + NO;219;-0.18584183996789397;N + NO <=> N2 + O;239;-0.16612865200370386;NH + NO <=> H + N2O;232;0.11050772899658824;NH + O <=> H + NO;270;0.07324742914664097;H + NO + M <=> HNO + M;273;0.06035325667410639;HNO + OH <=> H2O + NO;241;-0.05366618342378217;NH + NO <=> N2 + OH;240;0.04606481959019988;NH + NO <=> H + N2O;220;0.03847228425470022;N + O2 <=> NO + O;227;0.006200758297242509;HO2 + NO <=> NO2 + OH;230;-0.002676091189294345;H + NO2 <=> NO + OH;229;-0.0015517017275570293;NO2 + O <=> NO + O2;228;0.0006307776194101165;NO + O + M <=> NO2 + M;275;-1.2118269135279645e-07;HNO + NO2 <=> HONO + NO;258;-3.303180596912389e-10;NH2 + NO2 <=> H2O + N2O;243;-1.4191801128978686e-10;NH + NO2 <=> N2O + OH;242;-5.709297127108739e-13;HONO + NH <=> NH2 + NO2;257;7.443117543285433e-14;HONO + NH2 <=> NH3 + NO2;;;;239;0.27848036643699553;NH + NO <=> H + N2O;224;-0.12884162376055175;H + N2O <=> N2 + OH;240;-0.07730041688030403;NH + NO <=> H + N2O;226;-0.02196605769838362;N2O (+M) <=> N2 + O (+M);261;-0.00831063480239807;NNH + O <=> H + N2O;225;-0.00031978358790178945;N2O + OH <=> HO2 + N2;223;-0.00014515035308498142;N2O + O <=> 2 NO;222;-0.0001428679419303805;N2O + O <=> N2 + O2;243;7.618331727985328e-06;NH + NO2 <=> N2O + OH;258;6.406451649209613e-07;NH2 + NO2 <=> H2O + N2O
0.28;1.0;0.5;2092.414959878054;0.26416798174107103;0.0014492415764459246;0.028890267948046902;figures_multi_case_rop\bar_ROP_NO_f0.28_uf1.0_ua0.5.png;272;0.1639300590044394;H + HNO <=> H2 + NO;221;0.12424591970543371;N + OH <=> H + NO;219;-0.0941534370779637;N + NO <=> N2 + O;239;-0.0757447872250509;NH + NO <=> H + N2O;232;0.06785955650532399;NH + O <=> H + NO;270;0.04371317572269477;H + NO + M <=> HNO + M;273;0.041237080009638355;HNO + OH <=> H2O + NO;241;-0.025336822101371843;NH + NO <=> N2 + OH;240;0.021044785891526554;NH + NO <=> H + N2O;220;0.020592719868118795;N + O2 <=> NO + O;227;0.002910236787490013;HO2 + NO <=> NO2 + OH;230;-0.0009436170688286265;H + NO2 <=> NO + OH;229;-0.0008507686825949078;NO2 + O <=> NO + O2;228;0.00033344459738311424;NO + O + M <=> NO2 + M;275;-5.3996315872167466e-08;HNO + NO2 <=> HONO + NO;258;-3.069099332714224e-11;NH2 + NO2 <=> H2O + N2O;243;-2.995841978277806e-11;NH + NO2 <=> N2O + OH;242;-4.5053584977411983e-14;HONO + NH <=> NH2 + NO2;257;6.670515556299488e-15;HONO + NH2 <=> NH3 + NO2;;;;239;0.19893804456461736;NH + NO <=> H + N2O;224;-0.08678709368794095;H + N2O <=> N2 + OH;240;-0.055348783044604694;NH + NO <=> H + N2O;226;-0.02141918869755345;N2O (+M) <=> N2 + O (+M);261;-0.006130302764107324;NNH + O <=> H + N2O;225;-0.00022233430436317692;N2O + OH <=> HO2 + N2;223;-7.442618787976027e-05;N2O + O <=> 2 NO;222;-7.036688746533695e-05;N2O + O <=> N2 + O2;243;4.336409076892584e-06;NH + NO2 <=> N2O + OH;258;3.8254826734346514e-07;NH2 + NO2 <=> H2O + N2O
0.28;1.0;1.0;2079.995078745969;0.3301133919769549;0.0023689428285808486;0.036103320855506826;figures_multi_case_rop\bar_ROP_NO_f0.28_uf1.0_ua1.0.png;272;0.18789019874722854;H + HNO <=> H2 + NO;221;0.1173356364230247;N + OH <=> H + NO;232;0.08473396623404345;NH + O <=> H + NO;219;-0.07902841767134734;N + NO <=> N2 + O;239;-0.06031529333033878;NH + NO <=> H + N2O;273;0.049476194311830944;HNO + OH <=> H2O + NO;270;0.026927654451227304;H + NO + M <=> HNO + M;220;0.022047476139784895;N + O2 <=> NO + O;241;-0.020642552523031713;NH + NO <=> N2 + OH;240;0.016715040880315064;NH + NO <=> H + N2O;227;0.010990079930499637;HO2 + NO <=> NO2 + OH;230;-0.007403330916829135;H + NO2 <=> NO + OH;229;-0.0023632678675504708;NO2 + O <=> NO + O2;228;0.0011457338473830673;NO + O + M <=> NO2 + M;275;-2.7147431601063923e-07;HNO + NO2 <=> HONO + NO;243;-4.695744612445071e-10;NH + NO2 <=> N2O + OH;258;-2.196092808645247e-10;NH2 + NO2 <=> H2O + N2O;242;-1.5121376618539983e-12;HONO + NH <=> NH2 + NO2;257;8.964020207428237e-14;HONO + NH2 <=> NH3 + NO2;;;;239;0.2456205576423616;NH + NO <=> H + N2O;224;-0.10900184649302315;H + N2O <=> N2 + OH;240;-0.0682716559702821;NH + NO <=> H + N2O;226;-0.024403675016434086;N2O (+M) <=> N2 + O (+M);261;-0.007432225068487255;NNH + O <=> H + N2O;225;-0.00024397058452538774;N2O + OH <=> HO2 + N2;223;-8.668572528159723e-05;N2O + O <=> 2 NO;222;-8.332680611301336e-05;N2O + O <=> N2 + O2;243;5.6307040593774884e-06;NH + NO2 <=> N2O + OH;258;5.181732324434586e-07;NH2 + NO2 <=> H2O + N2O
0.28;1.0;1.5;2056.973064489769;0.3367220678172803;0.002956423824940304;0.041894686959803945;figures_multi_case_rop\bar_ROP_NO_f0.28_uf1.0_ua1.5.png;272;0.18837262899263663;H + HNO <=> H2 + NO;221;0.09696458470145299;N + OH <=> H + NO;232;0.08688486517468774;NH + O <=> H + NO;219;-0.06236585490119803;N + NO <=> N2 + O;273;0.051760720333804376;HNO + OH <=> H2O + NO;239;-0.04732544346129789;NH + NO <=> H + N2O;220;0.021444284083030656;N + O2 <=> NO + O;241;-0.01655553958980153;NH + NO <=> N2 + OH;240;0.013070439009413562;NH + NO <=> H + N2O;270;0.012875782089465375;H + NO + M <=> HNO + M;227;0.0061055140525384365;HO2 + NO <=> NO2 + OH;230;-0.0022663270691441035;H + NO2 <=> NO + OH;229;-0.0015114919479779151;NO2 + O <=> NO + O2;228;0.0006288325749598362;NO + O + M <=> NO2 + M;275;-1.0317066164951669e-07;HNO + NO2 <=> HONO + NO;258;-4.860114523250283e-10;NH2 + NO2 <=> H2O + N2O;243;-1.2842636035559477e-10;NH + NO2 <=> N2O + OH;242;-4.289749408697613e-13;HONO + NH <=> NH2 + NO2;257;9.248709650143708e-14;HONO + NH2 <=> NH3 + NO2;;;;239;0.2786545924984841;NH + NO <=> H + N2O;224;-0.12562942423964757;H + N2O <=> N2 + OH;240;-0.07730217771034983;NH + NO <=> H + N2O;226;-0.02540992495419788;N2O (+M) <=> N2 + O (+M);261;-0.00796980293599975;NNH + O <=> H + N2O;225;-0.00025859150094744267;N2O + OH <=> HO2 + N2;223;-9.930707449455179e-05;N2O + O <=> 2 NO;222;-9.880153554442552e-05;N2O + O <=> N2 + O2;243;7.401680310815608e-06;NH + NO2 <=> N2O + OH;258;7.227321904592054e-07;NH2 + NO2 <=> H2O + N2O
0.28;1.5;0.5;2081.887956618687;0.2602692481111277;0.002106236692507193;0.03450967191824731;figures_multi_case_rop\bar_ROP_NO_f0.28_uf1.5_ua0.5.png;272;0.14089654820616673;H + HNO <=> H2 + NO;221;0.08750495372549746;N + OH <=> H + NO;232;0.06453501874895566;NH + O <=> H + NO;219;-0.053604473121105056;N + NO <=> N2 + O;273;0.039325477267088634;HNO + OH <=> H2O + NO;239;-0.03900237239306623;NH + NO <=> H + N2O;220;0.016251618942017612;N + O2 <=> NO + O;270;0.01584536381529562;H + NO + M <=> HNO + M;241;-0.013668934352972681;NH + NO <=> N2 + OH;240;0.0108048099519406;NH + NO <=> H + N2O;227;0.0059921590012837105;HO2 + NO <=> NO2 + OH;230;-0.002963826555737572;H + NO2 <=> NO + OH;229;-0.001559908417538877;NO2 + O <=> NO + O2;228;0.0006379506531907988;NO + O + M <=> NO2 + M;275;-1.3764881484438224e-07;HNO + NO2 <=> HONO + NO;258;-1.8719228293595557e-10;NH2 + NO2 <=> H2O + N2O;243;-1.521245963818973e-10;NH + NO2 <=> N2O + OH;242;-6.127365531801325e-13;HONO + NH <=> NH2 + NO2;257;5.3592543993774655e-14;HONO + NH2 <=> NH3 + NO2;;;;239;0.24126416884159485;NH + NO <=> H + N2O;224;-0.10895549929826268;H + N2O <=> N2 + OH;240;-0.06708960898489756;NH + NO <=> H + N2O;226;-0.022719794621886655;N2O (+M) <=> N2 + O (+M);261;-0.0075326917343114174;NNH + O <=> H + N2O;225;-0.0002652415752719922;N2O + OH <=> HO2 + N2;223;-0.00010119601625904497;N2O + O <=> 2 NO;222;-9.654334984487302e-05;N2O + O <=> N2 + O2;243;5.602223527102833e-06;NH + NO2 <=> N2O + OH;258;4.764338595795008e-07;NH2 + NO2 <=> H2O + N2O
0.28;1.5;1.0;2061.876282071822;0.3455673362772464;0.002688975504823866;0.04489363822515897;figures_multi_case_rop\bar_ROP_NO_f0.28_uf1.5_ua1.0.png;272;0.3404422239857902;H + HNO <=> H2 + NO;219;-0.2342584796855232;N + NO <=> N2 + O;221;0.22103735795674304;N + OH <=> H + NO;239;-0.22026255722348365;NH + NO <=> H + N2O;232;0.12441597990087676;NH + O <=> H + NO;270;0.08832942452027974;H + NO + M <=> HNO + M;241;-0.0702564252384606;NH + NO <=> N2 + OH;273;0.06605576659913025;HNO + OH <=> H2O + NO;240;0.06110532351239989;NH + NO <=> H + N2O;220;0.04301648599566319;N + O2 <=> NO + O;227;0.0051335733889773085;HO2 + NO <=> NO2 + OH;230;-0.0016908655660993741;H + NO2 <=> NO + OH;229;-0.0013081307638413463;NO2 + O <=> NO + O2;228;0.0005544806277067217;NO + O + M <=> NO2 + M;275;-8.135118758089741e-08;HNO + NO2 <=> HONO + NO;258;-7.121637928860418e-10;NH2 + NO2 <=> H2O + N2O;243;-1.181183937222405e-10;NH + NO2 <=> N2O + OH;242;-5.779585059940157e-13;HONO + NH <=> NH2 + NO2;257;1.282818660389576e-13;HONO + NH2 <=> NH3 + NO2;;;;239;0.30175066509134946;NH + NO <=> H + N2O;224;-0.13891244870650613;H + N2O <=> N2 + OH;240;-0.08377174487556542;NH + NO <=> H + N2O;226;-0.02456622640453635;N2O (+M) <=> N2 + O (+M);261;-0.009018477858341626;NNH + O <=> H + N2O;225;-0.0003195085625295523;N2O + OH <=> HO2 + N2;223;-0.00013999348853019125;N2O + O <=> 2 NO;222;-0.00013744662935030166;N2O + O <=> N2 + O2;243;8.114413224670114e-06;NH + NO2 <=> N2O + OH;258;7.052459444036691e-07;NH2 + NO2 <=> H2O + N2O
0.28;1.5;1.5;2050.4852220917733;0.46840501826448266;0.0032056721378296;0.051244757032472874;figures_multi_case_rop\bar_ROP_NO_f0.28_uf1.5_ua1.5.png;272;0.34974567188203076;H + HNO <=> H2 + NO;221;0.21634949810715048;N + OH <=> H + NO;219;-0.1969698159022616;N + NO <=> N2 + O;239;-0.16546721820449795;NH + NO <=> H + N2O;232;0.14148230377126625;NH + O <=> H + NO;273;0.07174192203677897;HNO + OH <=> H2O + NO;270;0.06304921197184779;H + NO + M <=> HNO + M;241;-0.05409102104257239;NH + NO <=> N2 + OH;220;0.04640100944112829;N + O2 <=> NO + O;240;0.04580768582255033;NH + NO <=> H + N2O;227;0.006026681310204998;HO2 + NO <=> NO2 + OH;230;-0.0019723477934763018;H + NO2 <=> NO + OH;229;-0.0014421721709004943;NO2 + O <=> NO + O2;228;0.0005935928037043598;NO + O + M <=> NO2 + M;275;-8.134205582501278e-08;HNO + NO2 <=> HONO + NO;258;-5.535346180389853e-10;NH2 + NO2 <=> H2O + N2O;243;-1.1590100356210518e-10;NH + NO2 <=> N2O + OH;242;-2.9493131591648336e-13;HONO + NH <=> NH2 + NO2;257;8.34164837396859e-14;HONO + NH2 <=> NH3 + NO2;;;;239;0.34797504290602965;NH + NO <=> H + N2O;224;-0.16605868309706984;H + N2O <=> N2 + OH;240;-0.0965135764667773;NH + NO <=> H + N2O;226;-0.023017482769742234;N2O (+M) <=> N2 + O (+M);261;-0.010345532986266686;NNH + O <=> H + N2O;225;-0.0003908742276817253;N2O + OH <=> HO2 + N2;223;-0.00020788277458928068;N2O + O <=> 2 NO;222;-0.00020751352324245275;N2O + O <=> N2 + O2;243;1.0408887924369995e-05;NH + NO2 <=> N2O + OH;258;8.510838883887019e-07;NH2 + NO2 <=> H2O + N2O
0.5;2.0;2.0;2031.8990630657051;0.29801078161434286;0.0025713726184801;0.0176484664806099;figures_multi_case_rop\bar_ROP_NO_f0.5_uf2.0_ua2.0.png;221;0.23866551242831244;N + OH <=> H + NO;272;0.1895263740425688;H + HNO <=> H2 + NO;219;-0.15118977204703404;N + NO <=> N2 + O;232;0.0645009763677198;NH + O <=> H + NO;239;-0.060842901696322754;NH + NO <=> H + N2O;241;-0.020241498900987722;NH + NO <=> N2 + OH;273;0.018942580562894374;HNO + OH <=> H2O + NO;220;0.018121581437498428;N + O2 <=> NO + O;240;0.016849148699959383;NH + NO <=> H + N2O;262;-0.00929188142453156;NNH + O <=> NH + NO;227;0.009049946696919775;HO2 + NO <=> NO2 + OH;230;-0.005321446130649284;H + NO2 <=> NO + OH;229;-0.0017487038011389146;NO2 + O <=> NO + O2;228;0.0005916262231209797;NO + O + M <=> NO2 + M;275;-5.0123118945505725e-08;HNO + NO2 <=> HONO + NO;243;-1.9890036146915293e-10;NH + NO2 <=> N2O + OH;258;-4.770641476000871e-11;NH2 + NO2 <=> H2O + N2O;242;-4.9255484306628456e-14;HONO + NH <=> NH2 + NO2;257;2.520475842816888e-15;HONO + NH2 <=> NH3 + NO2;;;;239;0.1518393773197765;NH + NO <=> H + N2O;224;-0.08080327608694207;H + N2O <=> N2 + OH;240;-0.04188963007477795;NH + NO <=> H + N2O;226;-0.007183514402438131;N2O (+M) <=> N2 + O (+M);261;-0.004217895061072371;NNH + O <=> H + N2O;225;-6.384257203715474e-05;N2O + OH <=> HO2 + N2;222;-1.7609714024403822e-05;N2O + O <=> N2 + O2;223;-1.6010628769395854e-05;N2O + O <=> 2 NO;243;8.025410658445711e-07;NH + NO2 <=> N2O + OH;258;6.515982902273936e-08;NH2 + NO2 <=> H2O + N2O
